Player,Season,Team,GP,G,A,P,+/-,P/GP,S,S%
Joakim Nordstrom,20192020,BOS,13,0,2,2,-6,0.15,10,0
Jonas Brodin,20192020,MIN,4,0,2,2,1,0.5,8,0
Dmitry Kulikov,20192020,WPG,4,0,2,2,-1,0.5,5,0
Gustav Nyquist,20192020,CBJ,10,0,2,2,0,0.2,20,0
Oscar Klefbom,20192020,EDM,4,0,2,2,0,0.5,11,0
Radko Gudas,20192020,WSH,5,0,2,2,-1,0.4,2,0
Darnell Nurse,20192020,EDM,4,0,2,2,-3,0.5,9,0
Neal Pionk,20192020,WPG,4,0,2,2,-6,0.5,10,0
Jack Roslovic,20192020,WPG,4,0,2,2,-1,0.5,10,0
Jakob Chychrun,20192020,ARI,9,1,0,1,-4,0.11,17,5.9
Marc Staal,20192020,NYR,3,1,0,1,-4,0.33,3,33.3
Kevin Stenlund,20192020,CBJ,2,1,0,1,1,0.5,2,50
Travis Boyd,20192020,WSH,4,1,0,1,0,0.25,4,25
Joel Edmundson,20192020,CAR,4,1,0,1,4,0.25,16,6.3
Troy Brouwer,20192020,STL,4,1,0,1,1,0.25,1,100
David Kampf,20192020,CHI,9,1,0,1,0,0.11,9,11.1
Patrick Brown,20192020,VGK,2,1,0,1,1,0.5,3,33.3
Justin Faulk,20192020,STL,9,1,0,1,0,0.11,9,11.1
Erik Haula,20192020,FLA,4,1,0,1,-3,0.25,8,12.5
Brian Boyle,20192020,FLA,4,1,0,1,-1,0.25,3,33.3
Nick Ritchie,20192020,BOS,8,1,0,1,-3,0.13,6,16.7
Nate Thompson,20192020,PHI,16,1,0,1,-3,0.06,11,9.1
Joel Eriksson Ek,20192020,MIN,4,1,0,1,1,0.25,8,12.5
Nico Sturm,20192020,MIN,2,1,0,1,-1,0.5,1,100
Calle Jarnkrok,20192020,NSH,4,1,0,1,0,0.25,6,16.7
Nick Bonino,20192020,NSH,4,1,0,1,-2,0.25,7,14.3
Josh Archibald,20192020,EDM,4,1,0,1,1,0.25,5,20
Tyson Jost,20192020,COL,12,1,0,1,-1,0.08,19,5.3
Eric Robinson,20192020,CBJ,10,1,0,1,0,0.1,14,7.1
Mitchell Stephens,20192020,TBL,6,1,0,1,0,0.17,11,9.1
Ryan Murray,20192020,CBJ,9,1,0,1,0,0.11,6,16.7
Boone Jenner,20192020,CBJ,10,1,0,1,-3,0.1,22,4.6
Cody Ceci,20192020,TOR,5,1,0,1,0,0.2,5,20
Richard Panik,20192020,WSH,8,1,0,1,-2,0.13,8,12.5
Nicholas Robertson,20192020,TOR,4,1,0,1,-1,0.25,7,14.3
Teddy Blueger,20192020,PIT,4,1,0,1,-1,0.25,4,25
Morgan Rielly,20192020,TOR,5,1,0,1,-1,0.2,17,5.9
Warren Foegele,20192020,CAR,8,1,0,1,-1,0.13,9,11.1
Justin Williams,20192020,CAR,7,1,0,1,0,0.14,18,5.6
Jansen Harkins,20192020,WPG,3,1,0,1,-2,0.33,3,33.3
Blake Wheeler,20192020,WPG,4,0,1,1,-5,0.25,5,0
Kevin Connauton,20192020,COL,4,0,1,1,-2,0.25,6,0
Mikael Granlund,20192020,NSH,4,0,1,1,-3,0.25,7,0
Mattias Ekholm,20192020,NSH,4,0,1,1,-2,0.25,12,0
Alan Quine,20192020,CGY,3,0,1,1,1,0.33,0,--
Evgenii Dadonov,20192020,FLA,4,0,1,1,1,0.25,7,0
Michal Kempny,20192020,WSH,5,0,1,1,-2,0.2,7,0
Ryan Suter,20192020,MIN,3,0,1,1,1,0.33,3,0
Matt Dumba,20192020,MIN,4,0,1,1,1,0.25,14,0
Matt Benning,20192020,EDM,4,0,1,1,2,0.25,4,0
MacKenzie Weegar,20192020,FLA,4,0,1,1,1,0.25,7,0
Jon Merrill,20192020,VGK,1,0,1,1,1,1,0,--
Josh Morrissey,20192020,WPG,4,0,1,1,-4,0.25,3,0
Nathan Beaulieu,20192020,WPG,4,0,1,1,1,0.25,4,0
Kyle Connor,20192020,WPG,4,0,1,1,-4,0.25,14,0
Cedric Paquette,20192020,TBL,15,0,1,1,-2,0.07,15,0
John Marino,20192020,PIT,4,0,1,1,-1,0.25,10,0
Zach Aston-Reese,20192020,PIT,4,0,1,1,-3,0.25,7,0
Luke Schenn,20192020,TBL,6,0,1,1,1,0.17,4,0
Evgeni Malkin,20192020,PIT,4,0,1,1,-3,0.25,21,0
Justin Schultz,20192020,PIT,4,0,1,1,-4,0.25,7,0
Brandon Tanev,20192020,PIT,4,0,1,1,-2,0.25,2,0
Jared McCann,20192020,PIT,3,0,1,1,-1,0.33,1,0
Marcus Foligno,20192020,MIN,4,0,1,1,-2,0.25,4,0
Matt Grzelcyk,20192020,BOS,12,0,1,1,-5,0.08,9,0
Brian Dumoulin,20192020,PIT,4,0,1,1,0,0.25,5,0
Oskar Sundqvist,20192020,STL,9,0,1,1,-4,0.11,10,0
Brandon Carlo,20192020,BOS,13,0,1,1,0,0.08,16,0
Anders Bjork,20192020,BOS,10,0,1,1,-3,0.1,17,0
Mats Zuccarello,20192020,MIN,4,0,1,1,-1,0.25,3,0
Logan O'Connor,20192020,COL,5,0,1,1,0,0.2,5,0
Carl Gunnarsson,20192020,STL,6,0,1,1,2,0.17,5,0
Carter Verhaeghe,20192020,TBL,3,0,1,1,1,0.33,2,0
Colton Sissons,20192020,NSH,4,0,1,1,0,0.25,1,0
Travis Dermott,20192020,TOR,5,0,1,1,-2,0.2,3,0
Rocco Grimaldi,20192020,NSH,4,0,1,1,-1,0.25,6,0
Dean Kukan,20192020,CBJ,9,0,1,1,2,0.11,11,0
